COD_ENSE;DESCRIPCION
0;No Aplica
10;Educación Parvularia
110;Enseńanza Básica
160;Educación Básica Común Adultos
161;Educación Básica Especial Adultos
163;Escuelas Cárceles Básica Adultos
165;Educación Básica Adultos Sin Oficios
167;Educación Básica Adultos Con Oficios
211;Educación Especial Discapacidad Auditiva
212;Educación Especial Discapacidad Intelectual
213;Educación Especial Discapacidad Visual
214;Educación Especial Trastornos Específicos del Lenguaje
215;Educación Especial Trastornos Motores
216;Educación Especial Autismo
217;Educación Especial Graves Alteraciones en Relación y Comunicación
218;Educación Especial Discapacidad Múltiple
219;Educación Especial Sordoceguera
299;Opción 4 Programa Integración Escolar
310;Enseńanza Media HC nińos y jóvenes
360;Educación Media HC adultos vespertino y nocturno
361;Educación Media HC adultos
362;Escuelas Cárceles Media Adultos
363;Educación Media HC Adultos
410;Enseńanza Media TP Comercial nińos y jóvenes
460;Educación Media TP Comercial Adultos
461;Educación Media TP Comercial Adultos
463;Educación Media TP Comercial Adultos
510;Enseńanza Media TP Industrial nińos y jóvenes
560;Educación Media TP Industrial Adultos
561;Educación Media TP Industrial Adultos
563;Educación Media TP Industrial Adultos
610;Enseńanza Media TP Técnica nińos y jóvenes
660;Educación Media TP Técnica Adultos
661;Educación Media TP Técnica Adultos
663;Educación Media TP Técnica Adultos
710;Enseńanza Media TP Agrícola nińos y jóvenes
760;Educación Media TP Agrícola Adultos
761;Educación Media TP Agrícola Adultos
763;Educación Media TP Agrícola Adultos
810;Enseńanza Media TP Marítima nińos y jóvenes
860;Educación Media TP Marítima Adultos
863;Educación Media TP Marítima Adultos
910;Enseńanza Media Artística nińos y jóvenes
963;Enseńanza Media Artística Adultos
