COD_DEPROV_RBD;p_COD_PRO_RBD;NOM_DEPROV_RBD
151;151;ARICA
11;11;IQUIQUE
21;23;ANTOFAGASTA - TOCOPILLA
22;22;EL LOA
31;32;COPIAP”
32;33;HUASCO
41;41;ELQUI
42;43;LIMARÕ
43;42;CHOAPA
51;54;QUILLOTA
52;53;SAN FELIPE
53;51;VALPARAÕSO
134;131;SANTIAGO PONIENTE
54;56;SAN ANTONIO
61;61;CACHAPOAL
62;63;COLCHAGUA
63;62;CARDENAL CARO
71;73;CURIC”
72;71;TALCA
73;74;LINARES
74;72;CAUQUENES
81;161;—UBLE
82;83;BIOBÕO
83;81;CONCEPCI”N
84;82;ARAUCO
91;92;MALLECO
92;91;CAUTÕN NORTE
93;91;CAUTÕN SUR
141;141;VALDIVIA
101;101;LLANQUIHUE
142;142;RANCO
133;131;SANTIAGO ORIENTE
103;103;OSORNO
102;102;CHILO…
104;104;PALENA
111;111;COYHAIQUE
121;124;MAGALLANES
131;131;SANTIAGO CENTRO
137;131;SANTIAGO NORTE
132;134;SANTIAGO SUR
136;131;CORDILLERA
135;135;TALAGANTE
